Total AP information:
fault : fault           [56]
idle  : idle            [9]
nor   : normal          [2305]
ExtraInfo : Extra information
P     : insufficient power supply
---------------------------------------------------------------------------------------------------------------------------------------------------------------
ID    MAC            Name                                Group                   IP              Type            State  STA Uptime           ExtraInfo
---------------------------------------------------------------------------------------------------------------------------------------------------------------
0     8866-3903-c6c0 BAR-8644-0197-CCC-AP06              BAR-8644-0197-CCC       100.106.191.247 AP6150DN        nor    0   24D:4H:57M:15S   P
1     8866-3903-c700 8866-3903-c700                      default                 -               AP6150DN        fault  0   -                -
2     04b0-e749-e960 UPO12-B03-FL03_e960                 MSK-UPO-01-FLXX         10.14.4.8       AP6150DN        nor    1   8D:17H:56M:43S   -
3     8866-3904-08e0 UPO12-B03-FL03_08e0                 MSK-UPO-01-FLXX         10.14.4.6       AP6150DN        nor    0   8D:17H:56M:41S   -
4     04b0-e749-ece0 UPO12-B03-FL02-AP-12                MSK-UPO-MONITOR         10.14.4.137     AP6150DN        nor    0   119D:16H:30M:0S  -
5     bc62-0e2f-9340 bc62-0e2f-9340                      MSK-UPO-01-FLXX         10.14.4.125     AP5030DN        nor    0   8D:17H:56M:42S   -
6     8866-3904-2460 UPO12-B03-FL03_2460                 MSK-UPO-01-FLXX         10.14.4.9       AP6150DN        nor    4   8D:17H:56M:39S   -
7     8866-3903-fc60 MSK-UPO-13-FL03_AP05                MSK-UPO-13-FL03         10.14.8.14      AP6150DN        nor    3   127D:17H:6M:48S  -
8     c0bf-c0a6-c840 MSK-UPO-13-FL01_AP11                MSK-UPO-13-FL01         10.14.8.19      AP6150DN        nor    5   127D:17H:11M:7S  -
9     04b0-e749-f0e0 MSK-UPO-13-FL03_AP16                MSK-UPO-MONITOR         10.14.8.8       AP6150DN        nor    0   127D:17H:0M:27S  -
10    8866-3904-2580 MSK-UPO-13-FL03_AP14                MSK-UPO-13-FL01-ONLY_5G 10.14.8.11      AP6150DN        nor    3   127D:17H:0M:33S  -
11    8866-3904-25a0 MSK-UPO-13-FL03_AP01                MSK-UPO-13-FL03         10.14.8.2       AP6150DN        nor    1   127D:17H:5M:31S  -
12    8866-3903-fc80 MSK-UPO-13-FL03_AP13                MSK-UPO-13-FL01-ONLY_5G 10.14.8.6       AP6150DN        nor    0   127D:17H:3M:13S  -
13    8866-3904-24a0 MSK-UPO-13-FL03_AP22                MSK-UPO-13-FL01-ONLY_5G 10.14.8.10      AP6150DN        nor    2   127D:17H:1M:57S  -
14    04b0-e74a-16a0 MSK-UPO-13-FL02_16A0                MSK-UPO-13-FL02         10.14.8.20      AP6150DN        nor    0   107D:17H:11M:5S  -
15    8866-3903-fb40 MSK-UPO-13-FL03_AP04                MSK-UPO-MONITOR         10.14.8.9       AP6150DN        nor    0   127D:17H:0M:9S   -
16    04b0-e749-e780 MSK-UPO-13-FL03_AP18                MSK-UPO-13-FL03         10.14.8.1       AP6150DN        nor    0   127D:17H:8M:6S   -
17    8866-3904-1bc0 MSK-UPO-13-FL03_AP09                MSK-UPO-MONITOR         10.14.8.125     AP6150DN        nor    0   127D:16H:59M:23S -
18    04b0-e749-e9e0 MSK-UPO-13-FL02_E9E0                MSK-UPO-13-FL02         10.14.8.23      AP6150DN        nor    3   107D:17H:10M:56S -
19    8866-3903-ea60 MSK-UPO-13-FL02_EA60                MSK-UPO-13-FL02         10.14.8.27      AP6150DN        nor    0   107D:17H:11M:6S  -
20    8866-3904-1aa0 MSK-UPO-13-FL03_AP12                MSK-UPO-13-FL03         10.14.8.4       AP6150DN        nor    0   127D:17H:6M:26S  -
21    8866-3903-e9c0 MSK-UPO-13-FL02_E9C0                MSK-UPO-13-FL02         10.14.8.25      AP6150DN        nor    2   107D:17H:10M:50S -
22    8866-3904-25e0 MSK-UPO-13-FL03_AP20                MSK-UPO-12A-ATV         10.14.8.130     AP6150DN        nor    0   127D:17H:22M:25S -
23    8866-3903-e5e0 MSK-UPO-13-FL02_E5E0                MSK-UPO-13-FL02         10.14.8.32      AP6150DN        nor    0   107D:17H:10M:53S -
24    7079-90bb-a560 MSK-UPO-13-FL01_AP01                MSK-UPO-13-FL01         10.14.8.26      AP6150DN        nor    4   127D:17H:12M:37S -
25    04b0-e749-e8a0 MSK-UPO-13-FL02_E8A0                MSK-UPO-13-FL02         10.14.8.22      AP6150DN        nor    1   107D:17H:10M:56S -
26    bc62-0e2f-8e00 MSK-UPO-13-FL02_8E00                MSK-UPO-13-FL02         10.14.8.18      AP5030DN        nor    0   107D:17H:11M:0S  -
27    745a-aae4-2740 MSK-UPO-13-FL02_2740                MSK-UPO-13-FL02         10.14.8.17      AP5130DN        nor    2   107D:17H:11M:9S  -
28    8866-3904-2500 MSK-UPO-13-FL03_AP02                MSK-UPO-13-FL01-ONLY_5G 10.14.8.126     AP6150DN        nor    1   127D:17H:0M:47S  -
29    bc62-0e2f-79e0 MSK-UPO-13-FL02_79E0                MSK-UPO-13-FL02         10.14.8.31      AP5030DN        nor    1   107D:17H:10M:51S -
30    8866-3903-e9a0 MSK-UPO-13-FL02_E9A0                MSK-UPO-13-FL02         10.14.8.24      AP6150DN        nor    0   107D:17H:10M:49S -
31    c0bf-c0a6-ce60 MSK-UPO-13-FL01_AP08                MSK-UPO-13-FL01         10.14.8.34      AP6150DN        nor    3   127D:17H:9M:4S   -
32    8866-3904-24c0 MSK-UPO-13-FL03_AP03                MSK-UPO-01-FLXX-ONLY_5G 10.14.8.131     AP6150DN        nor    3   1H:23M:58S       -
33    8866-3904-1c60 MSK-UPO-13-FL03_AP07                MSK-UPO-13-FL03         10.14.8.15      AP6150DN        nor    4   127D:17H:5M:57S  -
34    04b0-e749-f100 MSK-UPO-13-FL03_AP25                MSK-UPO-13-FL01-ONLY_5G 10.14.8.128     AP6150DN        nor    0   127D:17H:4M:10S  -
35    04b0-e749-f140 MSK-UPO-13-FL03_AP17                MSK-UPO-13-FL03         10.14.8.12      AP6150DN        nor    4   127D:17H:7M:19S  -
36    04b0-e749-ec00 MSK-UPO-13-FL03_AP15                MSK-UPO-13-FL01-ONLY_5G 10.14.8.127     AP6150DN        nor    1   127D:17H:4M:47S  -
37    04b0-e749-f0c0 MSK-UPO-13-FL03_AP23                MSK-UPO-13-FL01-ONLY_5G 10.14.8.3       AP6150DN        nor    1   127D:17H:4M:25S  -
38    8866-3904-1b00 MSK-UPO-13-FL03_AP11                MSK-UPO-13-FL01-ONLY_5G 10.14.8.132     AP6150DN        nor    0   127D:17H:2M:52S  -
39    8866-3903-ebc0 MSK-UPO-13-FL02_EBC0                MSK-UPO-13-FL02         10.14.8.36      AP6150DN        nor    1   107D:17H:11M:0S  -
40    7079-90bb-a540 MSK-UPO-13-FL01_AP02                MSK-UPO-13-FL01         10.14.8.39      AP6150DN        nor    2   127D:17H:13M:4S  -
41    8866-3903-e5a0 MSK-UPO-13-FL02_E5A0                MSK-UPO-13-FL02         10.14.8.42      AP6150DN        nor    0   107D:17H:11M:8S  -
42    8866-3903-e120 MSK-UPO-13-FL02_E120                MSK-UPO-13-FL02         10.14.8.43      AP6150DN        nor    0   107D:17H:11M:6S  -
43    c0bf-c0a6-c920 MSK-UPO-13-FL01_AP05                MSK-UPO-13-FL01         10.14.8.35      AP6150DN        nor    1   127D:17H:10M:46S -
44    c0bf-c0a6-cda0 MSK-UPO-13-FL01_AP06                MSK-UPO-13-FL01         10.14.8.28      AP6150DN        nor    5   127D:17H:10M:5S  -
45    c0bf-c0a6-cac0 MSK-UPO-13-FL01_AP10                MSK-UPO-13-FL01         10.14.8.21      AP6150DN        nor    0   127D:17H:10M:25S -
